"year","zone","birthweight","measure","value"
"2000-2002","S01001792","Low Weight Births","Ratio",0
"2001-2003","S01001792","Low Weight Births","Ratio",0
"2002-2004","S01001792","Low Weight Births","Ratio","6.67"
"2003-2005","S01001792","Low Weight Births","Ratio","7.69"
"2009-2011","S01001792","Low Weight Births","Ratio",0
"2004-2006","S01001792","Low Weight Births","Ratio","4.76"
"2007-2009","S01001793","Live Singleton Births","Count",28
"2008-2010","S01001793","Live Singleton Births","Count",24
"2001-2003","S01001793","Low Weight Births","Count",0
"2002-2004","S01001793","Low Weight Births","Count",0
"2009-2011","S01001793","Low Weight Births","Count",1
"2009-2011","S01001793","Live Singleton Births","Count",25
"2003-2005","S01001793","Low Weight Births","Count",0
"2010-2012","S01001793","Live Singleton Births","Count",20
"2000-2002","S01001793","Live Singleton Births","Count",31
"2004-2006","S01001793","Low Weight Births","Count",0
"2010-2012","S01001793","Low Weight Births","Count",0
"2011-2013","S01001793","Live Singleton Births","Count",21
"2001-2003","S01001793","Live Singleton Births","Count",34
"2005-2007","S01001793","Low Weight Births","Count",0
"2002-2004","S01001793","Live Singleton Births","Count",35
"2011-2013","S01001793","Low Weight Births","Count",0
"2003-2005","S01001793","Live Singleton Births","Count",33
"2006-2008","S01001793","Low Weight Births","Count",0
"2004-2006","S01001793","Live Singleton Births","Count",29
"2007-2009","S01001793","Low Weight Births","Count",1
"2005-2007","S01001793","Live Singleton Births","Count",29
"2000-2002","S01001793","Low Weight Births","Count",0
"2008-2010","S01001793","Low Weight Births","Count",1
"2006-2008","S01001793","Live Singleton Births","Count",23
"2010-2012","S01001793","Low Weight Births","Ratio",0
"2005-2007","S01001793","Low Weight Births","Ratio",0
"2006-2008","S01001793","Low Weight Births","Ratio",0
"2011-2013","S01001793","Low Weight Births","Ratio",0
"2007-2009","S01001793","Low Weight Births","Ratio","3.57"
"2008-2010","S01001793","Low Weight Births","Ratio","4.17"
"2000-2002","S01001793","Low Weight Births","Ratio",0
"2001-2003","S01001793","Low Weight Births","Ratio",0
"2002-2004","S01001793","Low Weight Births","Ratio",0
"2003-2005","S01001793","Low Weight Births","Ratio",0
"2009-2011","S01001793","Low Weight Births","Ratio",4
"2004-2006","S01001793","Low Weight Births","Ratio",0
"2007-2009","S01001794","Live Singleton Births","Count",20
"2008-2010","S01001794","Live Singleton Births","Count",19
"2001-2003","S01001794","Low Weight Births","Count",0
"2002-2004","S01001794","Low Weight Births","Count",0
"2009-2011","S01001794","Low Weight Births","Count",0
"2009-2011","S01001794","Live Singleton Births","Count",16
"2003-2005","S01001794","Low Weight Births","Count",1
"2010-2012","S01001794","Live Singleton Births","Count",17
"2000-2002","S01001794","Live Singleton Births","Count",18
"2004-2006","S01001794","Low Weight Births","Count",1
"2010-2012","S01001794","Low Weight Births","Count",0
"2011-2013","S01001794","Live Singleton Births","Count",23
"2001-2003","S01001794","Live Singleton Births","Count",16
"2005-2007","S01001794","Low Weight Births","Count",1
"2002-2004","S01001794","Live Singleton Births","Count",21
"2011-2013","S01001794","Low Weight Births","Count",0
"2003-2005","S01001794","Live Singleton Births","Count",19
"2006-2008","S01001794","Low Weight Births","Count",0
"2004-2006","S01001794","Live Singleton Births","Count",19
"2007-2009","S01001794","Low Weight Births","Count",0
"2005-2007","S01001794","Live Singleton Births","Count",18
"2000-2002","S01001794","Low Weight Births","Count",0
"2008-2010","S01001794","Low Weight Births","Count",0
"2006-2008","S01001794","Live Singleton Births","Count",25
"2010-2012","S01001794","Low Weight Births","Ratio",0
"2005-2007","S01001794","Low Weight Births","Ratio","5.56"
"2006-2008","S01001794","Low Weight Births","Ratio",0
"2011-2013","S01001794","Low Weight Births","Ratio",0
"2007-2009","S01001794","Low Weight Births","Ratio",0
"2008-2010","S01001794","Low Weight Births","Ratio",0
"2000-2002","S01001794","Low Weight Births","Ratio",0
"2001-2003","S01001794","Low Weight Births","Ratio",0
"2002-2004","S01001794","Low Weight Births","Ratio",0
"2003-2005","S01001794","Low Weight Births","Ratio","5.26"
"2009-2011","S01001794","Low Weight Births","Ratio",0
"2004-2006","S01001794","Low Weight Births","Ratio","5.26"
"2007-2009","S01001795","Live Singleton Births","Count",21
"2008-2010","S01001795","Live Singleton Births","Count",13
"2001-2003","S01001795","Low Weight Births","Count",1
"2002-2004","S01001795","Low Weight Births","Count",0
"2009-2011","S01001795","Low Weight Births","Count",0
"2009-2011","S01001795","Live Singleton Births","Count",9
"2003-2005","S01001795","Low Weight Births","Count",0
"2010-2012","S01001795","Live Singleton Births","Count",6
"2000-2002","S01001795","Live Singleton Births","Count",18
"2004-2006","S01001795","Low Weight Births","Count",0
"2010-2012","S01001795","Low Weight Births","Count",0
"2011-2013","S01001795","Live Singleton Births","Count",8
"2001-2003","S01001795","Live Singleton Births","Count",21
"2005-2007","S01001795","Low Weight Births","Count",0
"2002-2004","S01001795","Live Singleton Births","Count",22
"2011-2013","S01001795","Low Weight Births","Count",0
"2003-2005","S01001795","Live Singleton Births","Count",22
"2006-2008","S01001795","Low Weight Births","Count",0
"2004-2006","S01001795","Live Singleton Births","Count",19
"2007-2009","S01001795","Low Weight Births","Count",0
"2005-2007","S01001795","Live Singleton Births","Count",22
"2000-2002","S01001795","Low Weight Births","Count",1
"2008-2010","S01001795","Low Weight Births","Count",0
"2006-2008","S01001795","Live Singleton Births","Count",22
"2010-2012","S01001795","Low Weight Births","Ratio",0
"2005-2007","S01001795","Low Weight Births","Ratio",0
"2006-2008","S01001795","Low Weight Births","Ratio",0
"2011-2013","S01001795","Low Weight Births","Ratio",0
"2007-2009","S01001795","Low Weight Births","Ratio",0
"2008-2010","S01001795","Low Weight Births","Ratio",0
"2000-2002","S01001795","Low Weight Births","Ratio","5.56"
"2001-2003","S01001795","Low Weight Births","Ratio","4.76"
"2002-2004","S01001795","Low Weight Births","Ratio",0
"2003-2005","S01001795","Low Weight Births","Ratio",0
"2009-2011","S01001795","Low Weight Births","Ratio",0
"2004-2006","S01001795","Low Weight Births","Ratio",0
"2007-2009","S01001796","Live Singleton Births","Count",14
"2008-2010","S01001796","Live Singleton Births","Count",8
"2001-2003","S01001796","Low Weight Births","Count",0
"2002-2004","S01001796","Low Weight Births","Count",0
"2009-2011","S01001796","Low Weight Births","Count",0
"2009-2011","S01001796","Live Singleton Births","Count",8
"2003-2005","S01001796","Low Weight Births","Count",0
"2010-2012","S01001796","Live Singleton Births","Count",9
"2000-2002","S01001796","Live Singleton Births","Count",13
"2004-2006","S01001796","Low Weight Births","Count",0
"2010-2012","S01001796","Low Weight Births","Count",0
"2011-2013","S01001796","Live Singleton Births","Count",11
"2001-2003","S01001796","Live Singleton Births","Count",12
"2005-2007","S01001796","Low Weight Births","Count",0
"2002-2004","S01001796","Live Singleton Births","Count",12
"2011-2013","S01001796","Low Weight Births","Count",0
"2003-2005","S01001796","Live Singleton Births","Count",7
"2006-2008","S01001796","Low Weight Births","Count",0
"2004-2006","S01001796","Live Singleton Births","Count",5
"2007-2009","S01001796","Low Weight Births","Count",0
"2005-2007","S01001796","Live Singleton Births","Count",7
"2000-2002","S01001796","Low Weight Births","Count",0
"2008-2010","S01001796","Low Weight Births","Count",0
"2006-2008","S01001796","Live Singleton Births","Count",12
"2010-2012","S01001796","Low Weight Births","Ratio",0
"2005-2007","S01001796","Low Weight Births","Ratio",0
"2006-2008","S01001796","Low Weight Births","Ratio",0
"2011-2013","S01001796","Low Weight Births","Ratio",0
"2007-2009","S01001796","Low Weight Births","Ratio",0
"2008-2010","S01001796","Low Weight Births","Ratio",0
"2000-2002","S01001796","Low Weight Births","Ratio",0
"2001-2003","S01001796","Low Weight Births","Ratio",0
"2002-2004","S01001796","Low Weight Births","Ratio",0
"2003-2005","S01001796","Low Weight Births","Ratio",0
"2009-2011","S01001796","Low Weight Births","Ratio",0
"2004-2006","S01001796","Low Weight Births","Ratio",0
"2007-2009","S01001797","Live Singleton Births","Count",21
"2008-2010","S01001797","Live Singleton Births","Count",22
"2001-2003","S01001797","Low Weight Births","Count",0
"2002-2004","S01001797","Low Weight Births","Count",0
"2009-2011","S01001797","Low Weight Births","Count",1
"2009-2011","S01001797","Live Singleton Births","Count",19
"2003-2005","S01001797","Low Weight Births","Count",0
"2010-2012","S01001797","Live Singleton Births","Count",15
"2000-2002","S01001797","Live Singleton Births","Count",15
"2004-2006","S01001797","Low Weight Births","Count",0
"2010-2012","S01001797","Low Weight Births","Count",1
"2011-2013","S01001797","Live Singleton Births","Count",13
"2001-2003","S01001797","Live Singleton Births","Count",13
"2005-2007","S01001797","Low Weight Births","Count",0
"2002-2004","S01001797","Live Singleton Births","Count",15
"2011-2013","S01001797","Low Weight Births","Count",0
"2003-2005","S01001797","Live Singleton Births","Count",14
"2006-2008","S01001797","Low Weight Births","Count",0
"2004-2006","S01001797","Live Singleton Births","Count",13
"2007-2009","S01001797","Low Weight Births","Count",0
"2005-2007","S01001797","Live Singleton Births","Count",12
"2000-2002","S01001797","Low Weight Births","Count",0
"2008-2010","S01001797","Low Weight Births","Count",1
"2006-2008","S01001797","Live Singleton Births","Count",17
"2010-2012","S01001797","Low Weight Births","Ratio","6.67"
"2005-2007","S01001797","Low Weight Births","Ratio",0
"2006-2008","S01001797","Low Weight Births","Ratio",0
"2011-2013","S01001797","Low Weight Births","Ratio",0
"2007-2009","S01001797","Low Weight Births","Ratio",0
"2008-2010","S01001797","Low Weight Births","Ratio","4.55"
"2000-2002","S01001797","Low Weight Births","Ratio",0
"2001-2003","S01001797","Low Weight Births","Ratio",0
"2002-2004","S01001797","Low Weight Births","Ratio",0
"2003-2005","S01001797","Low Weight Births","Ratio",0
"2009-2011","S01001797","Low Weight Births","Ratio","5.26"
"2004-2006","S01001797","Low Weight Births","Ratio",0
"2007-2009","S01001798","Live Singleton Births","Count",9
"2008-2010","S01001798","Live Singleton Births","Count",11
"2001-2003","S01001798","Low Weight Births","Count",0
"2002-2004","S01001798","Low Weight Births","Count",0
"2009-2011","S01001798","Low Weight Births","Count",0
"2009-2011","S01001798","Live Singleton Births","Count",12
"2003-2005","S01001798","Low Weight Births","Count",0
"2010-2012","S01001798","Live Singleton Births","Count",10
"2000-2002","S01001798","Live Singleton Births","Count",17
"2004-2006","S01001798","Low Weight Births","Count",0
"2010-2012","S01001798","Low Weight Births","Count",0
"2011-2013","S01001798","Live Singleton Births","Count",9
"2001-2003","S01001798","Live Singleton Births","Count",12
"2005-2007","S01001798","Low Weight Births","Count",0
"2002-2004","S01001798","Live Singleton Births","Count",10
"2011-2013","S01001798","Low Weight Births","Count",0
"2003-2005","S01001798","Live Singleton Births","Count",8
"2006-2008","S01001798","Low Weight Births","Count",0
"2004-2006","S01001798","Live Singleton Births","Count",10
"2007-2009","S01001798","Low Weight Births","Count",0
"2005-2007","S01001798","Live Singleton Births","Count",8
"2000-2002","S01001798","Low Weight Births","Count",0
"2008-2010","S01001798","Low Weight Births","Count",0
"2006-2008","S01001798","Live Singleton Births","Count",12
"2010-2012","S01001798","Low Weight Births","Ratio",0
"2005-2007","S01001798","Low Weight Births","Ratio",0
"2006-2008","S01001798","Low Weight Births","Ratio",0
"2011-2013","S01001798","Low Weight Births","Ratio",0
"2007-2009","S01001798","Low Weight Births","Ratio",0
"2008-2010","S01001798","Low Weight Births","Ratio",0
"2000-2002","S01001798","Low Weight Births","Ratio",0
"2001-2003","S01001798","Low Weight Births","Ratio",0
"2002-2004","S01001798","Low Weight Births","Ratio",0
"2003-2005","S01001798","Low Weight Births","Ratio",0
"2009-2011","S01001798","Low Weight Births","Ratio",0
"2004-2006","S01001798","Low Weight Births","Ratio",0
"2007-2009","S01001799","Live Singleton Births","Count",34
"2008-2010","S01001799","Live Singleton Births","Count",42
"2001-2003","S01001799","Low Weight Births","Count",2
"2002-2004","S01001799","Low Weight Births","Count",2
"2009-2011","S01001799","Low Weight Births","Count",1
"2009-2011","S01001799","Live Singleton Births","Count",42
"2003-2005","S01001799","Low Weight Births","Count",1
"2010-2012","S01001799","Live Singleton Births","Count",37
"2000-2002","S01001799","Live Singleton Births","Count",46
"2004-2006","S01001799","Low Weight Births","Count",1
"2010-2012","S01001799","Low Weight Births","Count",0
"2011-2013","S01001799","Live Singleton Births","Count",36
"2001-2003","S01001799","Live Singleton Births","Count",40
"2005-2007","S01001799","Low Weight Births","Count",1
"2002-2004","S01001799","Live Singleton Births","Count",34
"2011-2013","S01001799","Low Weight Births","Count",0
"2003-2005","S01001799","Live Singleton Births","Count",35
"2006-2008","S01001799","Low Weight Births","Count",1
"2004-2006","S01001799","Live Singleton Births","Count",34
"2007-2009","S01001799","Low Weight Births","Count",1
"2005-2007","S01001799","Live Singleton Births","Count",37
"2000-2002","S01001799","Low Weight Births","Count",1
"2008-2010","S01001799","Low Weight Births","Count",1
"2006-2008","S01001799","Live Singleton Births","Count",30
"2010-2012","S01001799","Low Weight Births","Ratio",0
"2005-2007","S01001799","Low Weight Births","Ratio","2.7"
"2006-2008","S01001799","Low Weight Births","Ratio","3.33"
"2011-2013","S01001799","Low Weight Births","Ratio",0
"2007-2009","S01001799","Low Weight Births","Ratio","2.94"
"2008-2010","S01001799","Low Weight Births","Ratio","2.38"
"2000-2002","S01001799","Low Weight Births","Ratio","2.17"
"2001-2003","S01001799","Low Weight Births","Ratio",5
"2002-2004","S01001799","Low Weight Births","Ratio","5.88"
"2003-2005","S01001799","Low Weight Births","Ratio","2.86"
"2009-2011","S01001799","Low Weight Births","Ratio","2.38"
"2004-2006","S01001799","Low Weight Births","Ratio","2.94"
"2007-2009","S01001800","Live Singleton Births","Count",24
"2008-2010","S01001800","Live Singleton Births","Count",26
"2001-2003","S01001800","Low Weight Births","Count",0
"2002-2004","S01001800","Low Weight Births","Count",0
"2009-2011","S01001800","Low Weight Births","Count",0
"2009-2011","S01001800","Live Singleton Births","Count",25
"2003-2005","S01001800","Low Weight Births","Count",0
"2010-2012","S01001800","Live Singleton Births","Count",24
"2000-2002","S01001800","Live Singleton Births","Count",30
"2004-2006","S01001800","Low Weight Births","Count",1
"2010-2012","S01001800","Low Weight Births","Count",0
"2011-2013","S01001800","Live Singleton Births","Count",20
"2001-2003","S01001800","Live Singleton Births","Count",32
"2005-2007","S01001800","Low Weight Births","Count",1
"2002-2004","S01001800","Live Singleton Births","Count",30
"2011-2013","S01001800","Low Weight Births","Count",0
"2003-2005","S01001800","Live Singleton Births","Count",31
"2006-2008","S01001800","Low Weight Births","Count",1
"2004-2006","S01001800","Live Singleton Births","Count",27
"2007-2009","S01001800","Low Weight Births","Count",0
"2005-2007","S01001800","Live Singleton Births","Count",28
"2000-2002","S01001800","Low Weight Births","Count",0
"2008-2010","S01001800","Low Weight Births","Count",0
"2006-2008","S01001800","Live Singleton Births","Count",26
"2010-2012","S01001800","Low Weight Births","Ratio",0
"2005-2007","S01001800","Low Weight Births","Ratio","3.57"
"2006-2008","S01001800","Low Weight Births","Ratio","3.85"
"2011-2013","S01001800","Low Weight Births","Ratio",0
"2007-2009","S01001800","Low Weight Births","Ratio",0
"2008-2010","S01001800","Low Weight Births","Ratio",0
"2000-2002","S01001800","Low Weight Births","Ratio",0
"2001-2003","S01001800","Low Weight Births","Ratio",0
"2002-2004","S01001800","Low Weight Births","Ratio",0
"2003-2005","S01001800","Low Weight Births","Ratio",0
"2009-2011","S01001800","Low Weight Births","Ratio",0
"2004-2006","S01001800","Low Weight Births","Ratio","3.7"
"2007-2009","S01001801","Live Singleton Births","Count",22
"2008-2010","S01001801","Live Singleton Births","Count",20
"2001-2003","S01001801","Low Weight Births","Count",0
"2002-2004","S01001801","Low Weight Births","Count",0
"2009-2011","S01001801","Low Weight Births","Count",1
"2009-2011","S01001801","Live Singleton Births","Count",18
"2003-2005","S01001801","Low Weight Births","Count",0
"2010-2012","S01001801","Live Singleton Births","Count",12
"2000-2002","S01001801","Live Singleton Births","Count",27
"2004-2006","S01001801","Low Weight Births","Count",0
"2010-2012","S01001801","Low Weight Births","Count",0
"2011-2013","S01001801","Live Singleton Births","Count",14
"2001-2003","S01001801","Live Singleton Births","Count",25
"2005-2007","S01001801","Low Weight Births","Count",0
"2002-2004","S01001801","Live Singleton Births","Count",19
"2011-2013","S01001801","Low Weight Births","Count",0
"2003-2005","S01001801","Live Singleton Births","Count",16
"2006-2008","S01001801","Low Weight Births","Count",0
"2004-2006","S01001801","Live Singleton Births","Count",11
"2007-2009","S01001801","Low Weight Births","Count",1
"2005-2007","S01001801","Live Singleton Births","Count",10
"2000-2002","S01001801","Low Weight Births","Count",0
"2008-2010","S01001801","Low Weight Births","Count",1
"2006-2008","S01001801","Live Singleton Births","Count",15
"2010-2012","S01001801","Low Weight Births","Ratio",0
"2005-2007","S01001801","Low Weight Births","Ratio",0
"2006-2008","S01001801","Low Weight Births","Ratio",0
"2011-2013","S01001801","Low Weight Births","Ratio",0
"2007-2009","S01001801","Low Weight Births","Ratio","4.55"
"2008-2010","S01001801","Low Weight Births","Ratio",5
"2000-2002","S01001801","Low Weight Births","Ratio",0
"2001-2003","S01001801","Low Weight Births","Ratio",0
"2002-2004","S01001801","Low Weight Births","Ratio",0
"2003-2005","S01001801","Low Weight Births","Ratio",0
"2009-2011","S01001801","Low Weight Births","Ratio","5.56"
"2004-2006","S01001801","Low Weight Births","Ratio",0
"2007-2009","S01001802","Live Singleton Births","Count",34
"2008-2010","S01001802","Live Singleton Births","Count",31
"2001-2003","S01001802","Low Weight Births","Count",1
"2002-2004","S01001802","Low Weight Births","Count",1
"2009-2011","S01001802","Low Weight Births","Count",3
"2009-2011","S01001802","Live Singleton Births","Count",32
"2003-2005","S01001802","Low Weight Births","Count",1
"2010-2012","S01001802","Live Singleton Births","Count",31
"2000-2002","S01001802","Live Singleton Births","Count",45
"2004-2006","S01001802","Low Weight Births","Count",1
"2010-2012","S01001802","Low Weight Births","Count",2
"2011-2013","S01001802","Live Singleton Births","Count",37
"2001-2003","S01001802","Live Singleton Births","Count",28
"2005-2007","S01001802","Low Weight Births","Count",1
"2002-2004","S01001802","Live Singleton Births","Count",31
"2011-2013","S01001802","Low Weight Births","Count",1
"2003-2005","S01001802","Live Singleton Births","Count",28
"2006-2008","S01001802","Low Weight Births","Count",1
"2004-2006","S01001802","Live Singleton Births","Count",36
"2007-2009","S01001802","Low Weight Births","Count",1
"2005-2007","S01001802","Live Singleton Births","Count",38
"2000-2002","S01001802","Low Weight Births","Count",0
"2008-2010","S01001802","Low Weight Births","Count",2
"2006-2008","S01001802","Live Singleton Births","Count",36
"2010-2012","S01001802","Low Weight Births","Ratio","6.45"
"2005-2007","S01001802","Low Weight Births","Ratio","2.63"
"2006-2008","S01001802","Low Weight Births","Ratio","2.78"
"2011-2013","S01001802","Low Weight Births","Ratio","2.7"
"2007-2009","S01001802","Low Weight Births","Ratio","2.94"
"2008-2010","S01001802","Low Weight Births","Ratio","6.45"
"2000-2002","S01001802","Low Weight Births","Ratio",0
"2001-2003","S01001802","Low Weight Births","Ratio","3.57"
"2002-2004","S01001802","Low Weight Births","Ratio","3.23"
"2003-2005","S01001802","Low Weight Births","Ratio","3.57"
"2009-2011","S01001802","Low Weight Births","Ratio","9.38"
"2004-2006","S01001802","Low Weight Births","Ratio","2.78"
"2007-2009","S01001803","Live Singleton Births","Count",37
"2008-2010","S01001803","Live Singleton Births","Count",33
"2001-2003","S01001803","Low Weight Births","Count",3
"2002-2004","S01001803","Low Weight Births","Count",2
"2009-2011","S01001803","Low Weight Births","Count",1
"2009-2011","S01001803","Live Singleton Births","Count",27
"2003-2005","S01001803","Low Weight Births","Count",1
"2010-2012","S01001803","Live Singleton Births","Count",32
"2000-2002","S01001803","Live Singleton Births","Count",61
"2004-2006","S01001803","Low Weight Births","Count",3
"2010-2012","S01001803","Low Weight Births","Count",1
"2011-2013","S01001803","Live Singleton Births","Count",31
"2001-2003","S01001803","Live Singleton Births","Count",54
"2005-2007","S01001803","Low Weight Births","Count",2
"2002-2004","S01001803","Live Singleton Births","Count",59
"2011-2013","S01001803","Low Weight Births","Count",0
"2003-2005","S01001803","Live Singleton Births","Count",47
"2006-2008","S01001803","Low Weight Births","Count",2
"2004-2006","S01001803","Live Singleton Births","Count",46
"2007-2009","S01001803","Low Weight Births","Count",0
"2005-2007","S01001803","Live Singleton Births","Count",42
"2000-2002","S01001803","Low Weight Births","Count",3
"2008-2010","S01001803","Low Weight Births","Count",1
"2006-2008","S01001803","Live Singleton Births","Count",43
"2010-2012","S01001803","Low Weight Births","Ratio","3.13"
"2005-2007","S01001803","Low Weight Births","Ratio","4.76"
"2006-2008","S01001803","Low Weight Births","Ratio","4.65"
"2011-2013","S01001803","Low Weight Births","Ratio",0
"2007-2009","S01001803","Low Weight Births","Ratio",0
"2008-2010","S01001803","Low Weight Births","Ratio","3.03"
"2000-2002","S01001803","Low Weight Births","Ratio","4.92"
"2001-2003","S01001803","Low Weight Births","Ratio","5.56"
"2002-2004","S01001803","Low Weight Births","Ratio","3.39"
"2003-2005","S01001803","Low Weight Births","Ratio","2.13"
"2009-2011","S01001803","Low Weight Births","Ratio","3.7"
"2004-2006","S01001803","Low Weight Births","Ratio","6.52"
"2007-2009","S01001804","Live Singleton Births","Count",17
"2008-2010","S01001804","Live Singleton Births","Count",26
"2001-2003","S01001804","Low Weight Births","Count",0
"2002-2004","S01001804","Low Weight Births","Count",0
"2009-2011","S01001804","Low Weight Births","Count",1
"2009-2011","S01001804","Live Singleton Births","Count",29
"2003-2005","S01001804","Low Weight Births","Count",0
"2010-2012","S01001804","Live Singleton Births","Count",27
"2000-2002","S01001804","Live Singleton Births","Count",37
"2004-2006","S01001804","Low Weight Births","Count",0
"2010-2012","S01001804","Low Weight Births","Count",1
"2011-2013","S01001804","Live Singleton Births","Count",20
"2001-2003","S01001804","Live Singleton Births","Count",31
"2005-2007","S01001804","Low Weight Births","Count",0
"2002-2004","S01001804","Live Singleton Births","Count",36
"2011-2013","S01001804","Low Weight Births","Count",0
"2003-2005","S01001804","Live Singleton Births","Count",41
"2006-2008","S01001804","Low Weight Births","Count",0
"2004-2006","S01001804","Live Singleton Births","Count",40
"2007-2009","S01001804","Low Weight Births","Count",0
"2005-2007","S01001804","Live Singleton Births","Count",32
"2000-2002","S01001804","Low Weight Births","Count",1
"2008-2010","S01001804","Low Weight Births","Count",1
"2006-2008","S01001804","Live Singleton Births","Count",20
"2010-2012","S01001804","Low Weight Births","Ratio","3.7"
"2005-2007","S01001804","Low Weight Births","Ratio",0
"2006-2008","S01001804","Low Weight Births","Ratio",0
